City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,vernon,50.2581,-119.2691,21.74,33,0,2.68,CA,1726439991
346,waterloo,43.4668,-80.5164,26.27,44,0,4.12,CA,1726440573
347,bodaybo,57.8506,114.1933,6.98,92,100,2.02,RU,1726440574
348,baruun-urt,46.6806,113.2792,7.09,81,0,2.42,MN,1726440575
349,myski,53.709,87.8014,-1.29,98,12,0.9,RU,1726440576
350,aracataca,10.5918,-74.1898,29.76,72,61,3.5,CO,1726440577
351,labasa,-16.4167,179.3833,29.41,60,52,3.14,FJ,1726440578
352,mahibadhoo,3.7833,72.9667,28.86,72,82,4.95,MV,1726440579
353,autazes,-3.5797,-59.1306,32.46,32,9,1.71,BR,1726440580
354,borogontsy,62.6683,131.1683,1.76,70,4,1.98,RU,1726440581
355,andergrove,-21.0833,149.1833,20.95,73,32,8.42,AU,1726440583
356,manokwari,-0.8667,134.0833,27.61,76,93,1.96,ID,1726440584
357,kerikeri,-35.2268,173.9474,14.95,87,100,2.68,NZ,1726440585
358,boldumsaz,42.1282,59.671,17.3,33,71,3.71,TM,1726440586
359,sofifi,0.7349,127.576,26.97,79,100,3.61,ID,1726440587
360,kralendijk,12.15,-68.2667,30.99,70,20,7.2,BQ,1726440588
361,vadso,70.0744,29.7487,8.09,93,40,4.12,NO,1726440589
362,kampong thom,12.7111,104.8887,24.52,91,100,4.44,KH,1726440590
